Institute ID,Name,City,State,Score,Rank,Year
IR-O-U-0215,Bangalore University,Bangalore,Karnataka,44.53,98,2022
IR-O-U-0331,Tata Institute of Social Sciences,Mumbai,Maharashtra,44.52,99,2022
IR-O-U-0249,Visvesvaraya Technological University,Belgaum,Karnataka,44.35,100,2022
IR-O-U-0456,Indian Institute of Technology Madras,Chennai,Tamil Nadu,86.69,1,2023
IR-O-U-0220,Indian Institute of Science,Bengaluru,Karnataka,83.09,2,2023
IR-O-I-1074,Indian Institute of Technology Delhi,New Delhi,Delhi,82.16,3,2023
IR-O-U-0306,Indian Institute of Technology Bombay,Mumbai,Maharashtra,81.28,4,2023
IR-O-I-1075,Indian Institute of Technology Kanpur,Kanpur,Uttar Pradesh,77.23,5,2023
IR-O-N-15,"All India Institute of Medical Sciences, Delhi",New Delhi,Delhi,72.14,6,2023
IR-O-U-0573,Indian Institute of Technology Kharagpur,Kharagpur,West Bengal,71.82,7,2023
IR-O-U-0560,Indian Institute of Technology Roorkee,Roorkee,Uttarakhand,71.66,8,2023
IR-O-U-0053,Indian Institute of Technology Guwahati,Guwahati,Assam,68.78,9,2023
IR-O-U-0109,Jawaharlal Nehru University,New Delhi,Delhi,67.44,10,2023
IR-O-U-0500,Banaras Hindu University,Varanasi,Uttar Pradesh,67.21,11,2023
IR-O-U-0108,"Jamia Millia Islamia,New Delhi",New Delhi,Delhi,65.52,12,2023
IR-O-U-0575,Jadavpur University,Kolkata,West Bengal,64.3,13,2023
IR-O-U-0013,Indian Institute of Technology Hyderabad,Hyderabad,Telangana,64.24,14,2023
IR-O-U-0436,Amrita Vishwa Vidyapeetham,Coimbatore,Tamil Nadu,62.74,15,2023
IR-O-U-0234,Manipal Academy of Higher Education-Manipal,Manipal,Karnataka,62.71,16,2023
IR-O-U-0490,Vellore Institute of Technology,Vellore,Tamil Nadu,62.7,17,2023
IR-O-U-0439,Anna University,Chennai,Tamil Nadu,62.36,18,2023
IR-O-U-0496,Aligarh Muslim University,Aligarh,Uttar Pradesh,62.27,19,2023
IR-O-U-0042,University of Hyderabad,Hyderabad,Telangana,60.49,20,2023
IR-O-U-0467,National Institute of Technology Tiruchirappalli,Tiruchirappalli,Tamil Nadu,60.43,21,2023
IR-O-U-0120,University of Delhi,Delhi,Delhi,60.24,22,2023
IR-O-U-0570,Calcutta University,Kolkata,West Bengal,60.22,23,2023
IR-O-U-0139,Indian Institute of Technology Gandhinagar,Gandhinagar,Gujarat,58.89,24,2023
IR-O-U-0391,Birla Institute of Technology & Science -Pilani,Pilani,Rajasthan,58.76,25,2023
IR-O-U-0363,Siksha `O` Anusandhan,Bhubaneswar,Odisha,58.35,26,2023
IR-O-I-1441,Saveetha Institute of Medical and Technical Sciences,Chennai,Tamil Nadu,58.14,27,2023
IR-O-U-0273,Indian Institute of Technology Indore,Indore,Madhya Pradesh,58.0,28,2023
IR-O-U-0356,Kalinga Institute of Industrial Technology,Bhubaneswar,Odisha,57.52,29,2023
IR-O-U-0304,Homi Bhabha National Institute,Mumbai,Maharashtra,57.09,30,2023
IR-O-U-0701,Indian Institute of Technology (Banaras Hindu University) Varanasi,Varanasi,Uttar Pradesh,57.08,31,2023
IR-O-U-0473,S.R.M. Institute of Science and Technology,Chennai,Tamil Nadu,56.44,32,2023
IR-O-U-0378,Indian Institute of Technology Ropar,Rupnagar,Punjab,56.16,33,2023
IR-O-U-0305,Indian Institute of Science Education & Research Pune,Pune,Maharashtra,56.05,34,2023
IR-O-U-0323,Savitribai Phule Pune University,Pune,Maharashtra,55.78,35,2023
IR-O-U-0447,Bharathiar University,Coimbatore,Tamil Nadu,55.58,36,2023
IR-O-U-0357,National Institute of Technology Rourkela,Rourkela,Odisha,55.52,37,2023
IR-O-U-0237,"National Institute of Technology Karnataka, Surathkal ",Surathkal,Karnataka,55.47,38,2023
IR-O-U-0368,Jawaharlal Institute of Post Graduate Medical Education & Research,Puducherry,Pondicherry,55.41,39,2023
IR-O-I-1480,Thapar Institute of Engineering and Technology (Deemed-to-be-university),Patiala,Punjab,55.17,40,2023
IR-O-U-0308,Institute of Chemical Technology,Mumbai,Maharashtra,54.53,41,2023
IR-O-U-0205,Indian Institute of Technology (Indian School of Mines),Dhanbad,Jharkhand,53.86,42,2023
IR-O-U-0572,Indian Institute of Science Education & Research Kolkata,Mohanpur,West Bengal,53.72,43,2023
IR-O-U-0078,Panjab University,Chandigarh,Chandigarh,53.31,44,2023
IR-O-U-0747,Chandigarh University,Mohali,Punjab,53.29,45,2023
IR-O-U-0379,Lovely Professional University,Phagwara,Punjab,53.22,46,2023
IR-O-U-0260,Kerala University,Thiruvananthapuram,Kerala,52.75,47,2023
IR-O-U-0458,Kalasalingam Academy of Research and Education,Srivilliputtur,Tamil Nadu,52.52,48,2023
IR-O-U-0476,Shanmugha Arts Science Technology & Research Academy,Thanjavur,Tamil Nadu,52.0,49,2023
IR-O-U-0020,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),Vaddeswaram,Andhra Pradesh,51.96,50,2023
IR-O-U-0377,"Indian Institute of Science Education & Research, Mohali",Mohali,Punjab,51.86,51,2023
IR-O-U-0262,"Mahatma Gandhi University, Kottayam",Kottayam,Kerala,51.84,52,2023
IR-O-U-0025,National Institute of Technology Warangal,Warangal,Telangana,51.83,53,2023
IR-O-U-0263,National Institute of Technology Calicut,Kozhikode,Kerala,51.62,54,2023
IR-O-U-0222,JSS Academy of Higher Education and Research,Mysuru,Karnataka,51.15,55,2023
IR-O-U-0435,Alagappa University,Karaikudi,Tamil Nadu,50.99,56,2023
IR-O-U-0497,Amity University,Gautam Budh Nagar,Uttar Pradesh,50.88,57,2023
IR-O-U-0196,University of Kashmir,Srinagar,Jammu and Kashmir,50.77,58,2023
IR-O-U-0329,Symbiosis International,Pune,Maharashtra,50.59,59,2023
IR-O-U-0272,Indian Institute of Science Education & Research Bhopal,Bhopal,Madhya Pradesh,50.58,60,2023
IR-O-U-0098,Delhi Technological University,New Delhi,Delhi,50.54,61,2023
IR-O-U-0410,Malaviya National Institute of Technology,Jaipur,Rajasthan,50.36,62,2023
IR-O-U-0253,Cochin University of Science and Technology,Cochin,Kerala,50.34,63,2023
IR-O-U-0027,Osmania University,Hyderabad,Telangana,49.94,64,2023
IR-O-I-1357,University of Madras,Chennai,Tamil Nadu,49.93,65,2023
IR-O-U-0584,"Indian Institute of Engineering Science and Technology, Shibpur",Howrah,West Bengal,49.79,66,2023
IR-O-U-0395,Indian Institute of Technology Jodhpur,Jodhpur,Rajasthan,49.79,66,2023
IR-O-U-0064,Indian Institute of Technology Patna,Patna,Bihar,49.79,66,2023
IR-O-U-0498,Babasheb Bhimrao Ambedkar University,Lucknow,Uttar Pradesh,49.53,69,2023
IR-O-U-0448,Bharathidasan University,Tiruchirappalli,Tamil Nadu,49.45,70,2023
IR-O-U-0235,Mysore University,Mysuru,Karnataka,49.17,71,2023
IR-O-U-0374,"Dr. B R Ambedkar National Institute of Technology, Jalandhar",Jalandhar,Punjab,49.04,72,2023
IR-O-U-0184,Indian Institute of Technology Mandi,Mandi,Himachal Pradesh,49.03,73,2023
IR-O-U-0381,"Punjab Agricultural University, Ludhiana",Ludhiana,Punjab,48.97,74,2023
IR-O-U-0295,Datta Meghe Institute of Higher Education and Research,Wardha,Maharashtra,48.92,75,2023
IR-O-U-0006,"Andhra University, Visakhapatnam",Visakhapatnam,Andhra Pradesh,48.54,76,2023
